country_iso_3166_code,co2_emission_factor,co2_emission_factor_units,ch4_emission_factor,ch4_emission_factor_units,n2o_emission_factor,n2o_emission_factor_units,loss_factor,source,source_detail,source_url
BO,0.534996875,kilograms_per_kilowatt_hour,0.0000136,kilograms_per_kilowatt_hour,0.00000209,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
BR,0.092643638,kilograms_per_kilowatt_hour,0.00000178,kilograms_per_kilowatt_hour,0.00000054,kilograms_per_kilowatt_hour,0.157,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
BW,1.825675055,kilograms_per_kilowatt_hour,0.0000193,kilograms_per_kilowatt_hour,0.0000289,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
BY,0.610873739,kilograms_per_kilowatt_hour,0.0000113,kilograms_per_kilowatt_hour,0.00000123,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
CA,0.179763325,kilograms_per_kilowatt_hour,0.00000225,kilograms_per_kilowatt_hour,0.00000237,kilograms_per_kilowatt_hour,0.085,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
CD,0.004158606,kilograms_per_kilowatt_hour,0.000000112,kilograms_per_kilowatt_hour,1.81E-08,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
CG,0.120109978,kilograms_per_kilowatt_hour,0.000002141,kilograms_per_kilowatt_hour,0.000000214,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
CH,0.003177437,kilograms_per_kilowatt_hour,7.02E-08,kilograms_per_kilowatt_hour,9.47E-09,kilograms_per_kilowatt_hour,0.07,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
CI,0.501179338,kilograms_per_kilowatt_hour,0.00000897,kilograms_per_kilowatt_hour,0.000000904,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
CL,0.408614261,kilograms_per_kilowatt_hour,0.00000874,kilograms_per_kilowatt_hour,0.00000507,kilograms_per_kilowatt_hour,0.096,Brander et al. (2011),Brander et al. (2011) Electricity-specific emission factors for grid electricity. [Emission factors are per kWh generated. Loss factors calculated by dividing T&D loss emission factors by consumption emission factors.],http://ecometrica.com/ecometrica-press/technical-papers/electricity-specific-emission-factors-for-grid-electricity/
